"Time","CD","CM","CU","PREC","RH2m","SNOW","ST","SWD","SWDtop","TT2M","WS100m","WS10m"
"2019-05-10T00:00:00+02:00",0.13,0,0,0,75.15,0,7.99,0,0,9.49,6.87,2.49
"2019-05-10T00:15:00+02:00",0.01,0,0,0,76.27,0,7.58,0,0,9.15,7.04,2.51
"2019-05-10T00:30:00+02:00",0.01,0,0,0,76.66,0,7.49,0,0,9.05,8.03,3.17
"2019-05-10T00:45:00+02:00",0.01,0,0,0,75.58,0,7.62,0,0,9.18,8.67,3.73
"2019-05-10T01:00:00+02:00",0.01,0,0,0,74.53,0,7.65,0,0,9.23,9.08,3.97
"2019-05-10T01:15:00+02:00",1,0,0,0,72.49,0,8.62,0,0,9.57,9.14,4.06
"2019-05-10T01:30:00+02:00",1,0,0,0,72.01,0,8.95,0,0,9.61,9.12,4.08
"2019-05-10T01:45:00+02:00",1,0,0,0,72.59,0,8.94,0,0,9.48,9.03,4.01
"2019-05-10T02:00:00+02:00",1,0,0,0,73.57,0,8.85,0,0,9.3,8.93,3.96
"2019-05-10T02:15:00+02:00",1,0,0,0,74.47,0,8.81,0,0,9.19,8.9,4.04
"2019-05-10T02:30:00+02:00",1,0,0,0,74.84,0,8.85,0,0,9.21,8.88,4.08
"2019-05-10T02:45:00+02:00",1,0,0,0,75.27,0,8.89,0,0,9.23,9.01,4.13
"2019-05-10T03:00:00+02:00",0.42,0,0,0,76.73,0,8.43,0,0,9,9.01,4.1
"2019-05-10T03:15:00+02:00",0.42,0,0,0,78.34,0,8.16,0,0,8.78,8.93,4.01
"2019-05-10T03:30:00+02:00",0.42,0,0,0,79.69,0,7.99,0,0,8.63,8.79,3.92
"2019-05-10T03:45:00+02:00",0.03,0.01,0,0,81.24,0,7.47,0,0,8.39,8.62,3.82
"2019-05-10T04:00:00+02:00",0.03,0.01,0,0,82.34,0,7.11,0,0,8.23,8.59,3.76
"2019-05-10T04:15:00+02:00",0.03,0.01,0,0,83.24,0,6.89,0,0,8.13,8.61,3.76
"2019-05-10T04:30:00+02:00",0.02,0,0,0,84.28,0,6.68,0,0,8,8.54,3.72
"2019-05-10T04:45:00+02:00",0.02,0,0,0,85.27,0,6.51,0,0,7.9,8.39,3.63
"2019-05-10T05:00:00+02:00",0.02,0,0,0,86.15,0,6.41,0,0,7.85,8.43,3.64
"2019-05-10T05:15:00+02:00",0.29,0.01,0,0,86.53,0,6.58,0,0,7.92,8.45,3.68
"2019-05-10T05:30:00+02:00",0.29,0.01,0,0,86.7,0,6.62,0,0,7.92,8.38,3.69
"2019-05-10T05:45:00+02:00",0.29,0.01,0,0,87.3,0,6.53,0,0,7.79,8.33,3.68
"2019-05-10T06:00:00+02:00",1,0,0,0,87.58,0,7.08,0,0,7.8,8.23,3.66
"2019-05-10T06:15:00+02:00",1,0,0,0,88.51,0,7.22,0,0,7.63,8.1,3.61
"2019-05-10T06:30:00+02:00",1,0,0,0,89.75,0,7.17,0,0,7.46,8.07,3.6
"2019-05-10T06:45:00+02:00",1,0.01,0,0.01,90.8,0,7.28,0.55,62.32,7.46,8.19,3.67
"2019-05-10T07:00:00+02:00",1,0.01,0,0.02,91.76,0,7.44,0.55,62.32,7.59,8.43,3.82
"2019-05-10T07:15:00+02:00",1,0.01,0,0.03,92.58,0,7.64,3.55,164.7,7.76,8.4,3.86
"2019-05-10T07:30:00+02:00",1,0,0,0.06,93.53,0,7.79,5.66,216.93,7.87,8.18,3.78
"2019-05-10T07:45:00+02:00",1,0.5,0,0.08,94.5,0,7.85,7.57,255.56,7.88,7.8,3.63
"2019-05-10T08:00:00+02:00",1,1,0,0.09,95.01,0,7.85,9.62,322.36,7.85,7.26,3.39
"2019-05-10T08:15:00+02:00",1,0.24,0,0.07,94.95,0,7.84,9.54,375.11,7.84,7.12,3.34
"2019-05-10T08:30:00+02:00",1,0.02,0,0.03,94.1,0,7.9,12.43,427.58,7.93,7.55,3.51
"2019-05-10T08:45:00+02:00",1,0,0,0.01,92.88,0,8.06,22.34,479.54,8.07,7.69,3.58
"2019-05-10T09:00:00+02:00",1,0,0,0.01,92.19,0,8.19,26.88,530.78,8.16,7.47,3.49
"2019-05-10T09:15:00+02:00",1,0,0,0.01,91.84,0,8.25,26.61,581.07,8.19,7.54,3.54
"2019-05-10T09:30:00+02:00",1,0,0,0.03,91.69,0,8.27,27.85,630.2,8.18,7.75,3.64
"2019-05-10T09:45:00+02:00",1,0,0,0.04,91.29,0,8.35,36.31,677.96,8.21,7.59,3.55
"2019-05-10T10:00:00+02:00",1,0,0,0.07,91.84,0,8.35,32.94,724.14,8.16,7.27,3.42
"2019-05-10T10:15:00+02:00",1,0,0,0.06,92.4,0,8.33,32.57,768.54,8.13,7.07,3.3
"2019-05-10T10:30:00+02:00",1,0,0,0.01,90.81,0,8.49,40.99,810.98,8.32,6.97,3.22
"2019-05-10T10:45:00+02:00",1,0,0,0,87.19,0,9.17,70.74,851.28,8.97,6.87,3.22
"2019-05-10T11:00:00+02:00",1,0,0,0,81.09,0,10.83,173.42,889.25,10.16,6.65,3.21
"2019-05-10T11:15:00+02:00",0.73,0,0,0,75.65,0,12.58,292.8,924.75,11.14,6.67,3.3
"2019-05-10T11:30:00+02:00",1,0,0,0,78.06,0,11.06,54.81,957.61,10.39,6.91,3.39
"2019-05-10T11:45:00+02:00",1,0,0,0,79.79,0,10.53,55.46,987.7,10.01,6.3,3.03
"2019-05-10T12:00:00+02:00",1,0,0,0,78.47,0,10.78,71.42,1 014.88,10.28,6.02,2.9
"2019-05-10T12:15:00+02:00",1,0,0,0,77.59,0,10.98,75.92,1 039.04,10.46,6.66,3.2
"2019-05-10T12:30:00+02:00",1,0,0,0,72.32,0,13.35,316.72,1 060.08,11.51,6.05,2.96
"2019-05-10T12:45:00+02:00",0.02,0,0,0,63.58,0,16.9,817.5,1 077.91,13.12,5.2,2.75
"2019-05-10T13:00:00+02:00",0.06,0,0,0,58.84,0,17.47,810.64,1 092.45,13.69,5.52,3.06
"2019-05-10T13:15:00+02:00",0.64,0,0,0,58.06,0,16.63,527.06,1 103.64,13.51,6.13,3.34
